Date,Visitor/Neutral,Home/Neutral
Tue Mar 2 2021,Denver Nuggets,Milwaukee Bucks
Tue Mar 2 2021,Phoenix Suns,Los Angeles Lakers
Wed Mar 3 2021,Indiana Pacers,Cleveland Cavaliers
Wed Mar 3 2021,Utah Jazz,Philadelphia 76ers
Wed Mar 3 2021,Detroit Pistons,Toronto Raptors
Wed Mar 3 2021,Brooklyn Nets,Houston Rockets
Wed Mar 3 2021,Charlotte Hornets,Minnesota Timberwolves
Wed Mar 3 2021,Chicago Bulls,New Orleans Pelicans
Wed Mar 3 2021,Atlanta Hawks,Orlando Magic
Wed Mar 3 2021,Oklahoma City Thunder,Dallas Mavericks
